claim_id,policy_id,customer_id,policy_type,claim_date,claim_type,claim_amount,deductible,amount_paid,claim_status,incident_description
CLM-100002,POL-1002586,CUST-502586,Home,2025-05-28,Water Damage,5917.8,2500.0,3417.8,Paid,Burst pipe in the upstairs bathroom flooded the ceiling below.
CLM-100006,POL-1000705,CUST-500705,Home,2024-04-04,Liability,13557.15,1000.0,12557.15,Paid,Guest tripped over a loose rug and fractured their wrist.
CLM-100007,POL-1000106,CUST-500106,Home,2025-06-18,Liability,8695.57,250.0,8445.57,Paid,Mail carrier slipped on icy front steps and sprained ankle.
CLM-100008,POL-1000589,CUST-500589,Home,2025-08-18,Liability,22738.61,1000.0,21738.61,Paid,Family dog bit a neighbor visiting the backyard.
CLM-100012,POL-1001600,CUST-501600,Home,2023-09-12,Fire,28338.93,5000.0,23338.93,Paid,Grease fire in the kitchen caused severe cabinet and smoke damage.
CLM-100011,POL-1001600,CUST-501600,Home,2023-11-15,Fire,10379.18,5000.0,5379.18,Paid,Grease fire in the kitchen caused severe cabinet and smoke damage.
CLM-100022,POL-1003351,CUST-503351,Home,2026-04-29,Fire,7972.12,250.0,7722.12,Under Review,Electrical fire in the garage damaged walls and tools.
CLM-100023,POL-1001744,CUST-501744,Home,2026-04-21,Fire,3048.45,1000.0,0.0,Denied,Grease fire in the kitchen caused severe cabinet and smoke damage.
CLM-100026,POL-1000926,CUST-500926,Home,2025-07-25,Water Damage,31568.36,500.0,31068.36,Paid,Burst pipe in the upstairs bathroom flooded the ceiling below.
CLM-100027,POL-1003049,CUST-503049,Home,2024-09-28,Theft,35415.17,5000.0,30415.17,Paid,Lawnmower and power tools stolen from locked backyard shed.
CLM-100029,POL-1000642,CUST-500642,Home,2026-03-01,Water Damage,70427.44,250.0,70177.44,Paid,Burst pipe in the upstairs bathroom flooded the ceiling below.
CLM-100041,POL-1001755,CUST-501755,Home,2025-03-30,Theft,6413.48,5000.0,1413.48,Paid,Porch pirate stole high-value packages delivered to front door.
CLM-100044,POL-1003585,CUST-503585,Home,2024-12-21,Theft,38955.83,1000.0,37955.83,Paid,Break-in through rear window; jewelry and electronics stolen.
CLM-100045,POL-1003585,CUST-503585,Home,2025-11-14,Wind/Hail,20595.96,1000.0,19595.96,Paid,Fallen tree limb damaged the backyard deck during a storm.
CLM-100046,POL-1004315,CUST-504315,Home,2025-01-09,Liability,39444.93,1000.0,38444.93,Paid,Mail carrier slipped on icy front steps and sprained ankle.
CLM-100051,POL-1004121,CUST-504121,Home,2025-11-29,Wind/Hail,57006.79,250.0,56756.79,Paid,Severe thunderstorm tore off several roof shingles.
CLM-100062,POL-1003161,CUST-503161,Home,2022-02-17,Water Damage,26544.49,2500.0,24044.49,Paid,Burst pipe in the upstairs bathroom flooded the ceiling below.
CLM-100061,POL-1003161,CUST-503161,Home,2023-01-08,Liability,9341.97,2500.0,6841.97,Paid,Family dog bit a neighbor visiting the backyard.
CLM-100068,POL-1002846,CUST-502846,Home,2024-08-12,Fire,1197.89,5000.0,0.0,Paid,Chimney fire caused attic and roof structure damage.
CLM-100069,POL-1002846,CUST-502846,Home,2024-12-17,Water Damage,14414.2,5000.0,9414.2,Paid,"Dishwasher overflowed, damaging kitchen hardwood floors."
CLM-100074,POL-1001103,CUST-501103,Home,2026-02-10,Wind/Hail,4248.47,500.0,3748.47,Paid,Fallen tree limb damaged the backyard deck during a storm.
