claim_id,policy_id,customer_id,policy_type,claim_date,claim_type,claim_amount,deductible,amount_paid,claim_status,incident_description
CLM-100015,POL-1000915,CUST-500915,Umbrella,2025-05-08,Liability,13980.16,250.0,0.0,Denied,Defamation lawsuit settlement.
CLM-100016,POL-1000915,CUST-500915,Umbrella,2025-08-16,Liability,116806.71,250.0,0.0,Denied,Settlement for personal injury lawsuit stemming from rental property.
CLM-100019,POL-1003021,CUST-503021,Umbrella,2023-01-23,Liability,47814.0,5000.0,42814.0,Paid,Excess liability claim following a major multi-car auto accident.
CLM-100067,POL-1002451,CUST-502451,Umbrella,2023-04-05,Liability,39493.32,500.0,38993.32,Paid,Defamation lawsuit settlement.
CLM-100163,POL-1001370,CUST-501370,Umbrella,2025-03-28,Liability,27210.48,250.0,26960.48,Paid,Excess liability claim following a major multi-car auto accident.
CLM-100165,POL-1004816,CUST-504816,Umbrella,2025-08-10,Liability,241570.53,500.0,241070.53,Paid,Settlement for personal injury lawsuit stemming from rental property.
CLM-100171,POL-1004771,CUST-504771,Umbrella,2026-05-06,Liability,387120.95,2500.0,384620.95,Under Review,Excess liability claim following a major multi-car auto accident.
CLM-100199,POL-1002974,CUST-502974,Umbrella,2023-05-18,Liability,120126.88,250.0,119876.88,Paid,Excess liability claim following a major multi-car auto accident.
CLM-100198,POL-1002974,CUST-502974,Umbrella,2023-08-19,Liability,39700.6,250.0,39450.6,Paid,Excess liability claim following a major multi-car auto accident.
CLM-100299,POL-1001647,CUST-501647,Umbrella,2022-12-03,Liability,769454.76,1000.0,768454.76,Paid,Settlement for personal injury lawsuit stemming from rental property.
CLM-100300,POL-1001647,CUST-501647,Umbrella,2023-04-11,Liability,196496.39,1000.0,195496.39,Paid,Defamation lawsuit settlement.
CLM-100315,POL-1000230,CUST-500230,Umbrella,2026-04-15,Liability,127944.79,1000.0,126944.79,Under Review,Defamation lawsuit settlement.
CLM-100330,POL-1001782,CUST-501782,Umbrella,2022-01-06,Liability,122265.01,2500.0,119765.01,Paid,Settlement for personal injury lawsuit stemming from rental property.
CLM-100337,POL-1002275,CUST-502275,Umbrella,2026-04-24,Liability,364096.24,500.0,363596.24,Under Review,Excess liability claim following a major multi-car auto accident.
CLM-100355,POL-1000149,CUST-500149,Umbrella,2026-01-06,Liability,47968.5,2500.0,0.0,Denied,Settlement for personal injury lawsuit stemming from rental property.
CLM-100354,POL-1000149,CUST-500149,Umbrella,2026-02-28,Liability,307558.45,2500.0,305058.45,Paid,Settlement for personal injury lawsuit stemming from rental property.
CLM-100399,POL-1001405,CUST-501405,Umbrella,2024-07-20,Liability,40083.81,500.0,39583.81,Paid,Settlement for personal injury lawsuit stemming from rental property.
CLM-100410,POL-1003625,CUST-503625,Umbrella,2023-10-08,Liability,114748.34,2500.0,112248.34,Paid,Settlement for personal injury lawsuit stemming from rental property.
CLM-100442,POL-1000805,CUST-500805,Umbrella,2022-11-20,Liability,219133.28,5000.0,214133.28,Paid,Defamation lawsuit settlement.
CLM-100472,POL-1003729,CUST-503729,Umbrella,2024-08-31,Liability,373736.39,250.0,373486.39,Paid,Settlement for personal injury lawsuit stemming from rental property.
CLM-100508,POL-1004625,CUST-504625,Umbrella,2026-03-28,Liability,8852.72,250.0,8602.72,Approved,Settlement for personal injury lawsuit stemming from rental property.
CLM-100593,POL-1002939,CUST-502939,Umbrella,2022-11-05,Liability,310737.28,1000.0,309737.28,Paid,Defamation lawsuit settlement.
CLM-100609,POL-1004679,CUST-504679,Umbrella,2024-04-22,Liability,126049.51,500.0,125549.51,Paid,Defamation lawsuit settlement.
CLM-100683,POL-1000322,CUST-500322,Umbrella,2023-04-15,Liability,192136.77,500.0,191636.77,Paid,Defamation lawsuit settlement.
CLM-100746,POL-1001126,CUST-501126,Umbrella,2024-06-09,Liability,138292.12,500.0,137792.12,Paid,Settlement for personal injury lawsuit stemming from rental property.
CLM-100772,POL-1002110,CUST-502110,Umbrella,2024-02-25,Liability,68332.13,2500.0,65832.13,Paid,Excess liability claim following a major multi-car auto accident.
CLM-100852,POL-1003828,CUST-503828,Umbrella,2021-11-19,Liability,68382.71,1000.0,67382.71,Paid,Settlement for personal injury lawsuit stemming from rental property.
CLM-100853,POL-1003828,CUST-503828,Umbrella,2022-06-02,Liability,181803.45,1000.0,180803.45,Paid,Defamation lawsuit settlement.
CLM-100871,POL-1001115,CUST-501115,Umbrella,2026-04-07,Liability,20129.53,5000.0,15129.53,Paid,Defamation lawsuit settlement.
CLM-100870,POL-1001115,CUST-501115,Umbrella,2026-04-23,Liability,255682.32,5000.0,250682.32,Paid,Settlement for personal injury lawsuit stemming from rental property.
CLM-100869,POL-1001115,CUST-501115,Umbrella,2026-05-05,Liability,350251.82,5000.0,345251.82,Approved,Defamation lawsuit settlement.
CLM-100990,POL-1002905,CUST-502905,Umbrella,2026-02-25,Liability,173280.29,1000.0,172280.29,Paid,Excess liability claim following a major multi-car auto accident.
CLM-101030,POL-1000045,CUST-500045,Umbrella,2022-07-11,Liability,22153.83,250.0,21903.83,Paid,Excess liability claim following a major multi-car auto accident.
CLM-101031,POL-1000045,CUST-500045,Umbrella,2023-10-13,Liability,132554.7,250.0,132304.7,Paid,Settlement for personal injury lawsuit stemming from rental property.
CLM-101056,POL-1003460,CUST-503460,Umbrella,2021-10-11,Liability,183618.81,250.0,183368.81,Paid,Settlement for personal injury lawsuit stemming from rental property.
