claim_id,policy_id,customer_id,policy_type,claim_date,claim_type,claim_amount,deductible,amount_paid,claim_status,incident_description
CLM-100001,POL-1001501,CUST-501501,Renters,2025-12-25,Theft,500.0,1000.0,0.0,Paid,"Apartment burglary; laptop, tablet, and gaming console stolen."
CLM-100020,POL-1003543,CUST-503543,Renters,2026-05-05,Theft,9778.1,1000.0,8778.1,Under Review,Bicycle stolen from the apartment complex bike rack.
CLM-100053,POL-1000065,CUST-500065,Renters,2024-09-06,Theft,689.35,500.0,189.35,Paid,"Apartment burglary; laptop, tablet, and gaming console stolen."
CLM-100054,POL-1000065,CUST-500065,Renters,2024-10-04,Water Damage,3259.55,500.0,2759.55,Paid,Bathtub overflow from the apartment above leaked through ceiling.
CLM-100060,POL-1004635,CUST-504635,Renters,2026-05-09,Water Damage,2184.16,2500.0,0.0,Under Review,Bathtub overflow from the apartment above leaked through ceiling.
CLM-100079,POL-1002377,CUST-502377,Renters,2024-06-22,Theft,1522.62,1000.0,522.62,Paid,Bicycle stolen from the apartment complex bike rack.
CLM-100093,POL-1000084,CUST-500084,Renters,2022-06-02,Water Damage,848.48,250.0,598.48,Paid,Leaking pipe in the wall damaged living room furniture.
CLM-100094,POL-1000084,CUST-500084,Renters,2022-08-07,Theft,2255.39,250.0,2005.39,Paid,"Apartment burglary; laptop, tablet, and gaming console stolen."
CLM-100095,POL-1000084,CUST-500084,Renters,2023-04-14,Theft,883.06,250.0,633.06,Paid,Bicycle stolen from the apartment complex bike rack.
CLM-100114,POL-1000763,CUST-500763,Renters,2022-03-29,Water Damage,1528.29,5000.0,0.0,Paid,Bathtub overflow from the apartment above leaked through ceiling.
CLM-100131,POL-1000373,CUST-500373,Renters,2024-11-20,Water Damage,4272.94,500.0,3772.94,Paid,Leaking pipe in the wall damaged living room furniture.
CLM-100139,POL-1004439,CUST-504439,Renters,2025-01-21,Theft,2778.28,250.0,2528.28,Paid,"Apartment burglary; laptop, tablet, and gaming console stolen."
CLM-100148,POL-1001406,CUST-501406,Renters,2023-07-02,Fire,8813.73,5000.0,0.0,Denied,Candle left unattended started a small bedroom fire.
CLM-100147,POL-1001406,CUST-501406,Renters,2023-09-20,Water Damage,580.47,5000.0,0.0,Paid,Leaking pipe in the wall damaged living room furniture.
CLM-100149,POL-1001406,CUST-501406,Renters,2023-12-03,Fire,5806.82,5000.0,806.82,Paid,"Toaster oven caught fire, causing kitchen smoke damage."
CLM-100167,POL-1002280,CUST-502280,Renters,2026-02-28,Fire,6144.19,1000.0,0.0,Denied,Candle left unattended started a small bedroom fire.
CLM-100183,POL-1003557,CUST-503557,Renters,2024-10-02,Water Damage,1938.31,250.0,1688.31,Paid,Leaking pipe in the wall damaged living room furniture.
CLM-100184,POL-1003557,CUST-503557,Renters,2025-08-29,Theft,17980.08,250.0,17730.08,Paid,"Apartment burglary; laptop, tablet, and gaming console stolen."
CLM-100185,POL-1000964,CUST-500964,Renters,2025-01-21,Fire,2616.07,1000.0,1616.07,Paid,"Toaster oven caught fire, causing kitchen smoke damage."
CLM-100205,POL-1001419,CUST-501419,Renters,2025-01-24,Theft,2037.75,2500.0,0.0,Paid,"Apartment burglary; laptop, tablet, and gaming console stolen."
CLM-100204,POL-1001419,CUST-501419,Renters,2025-02-01,Theft,2962.74,2500.0,462.74,Paid,"Apartment burglary; laptop, tablet, and gaming console stolen."
CLM-100215,POL-1003664,CUST-503664,Renters,2024-08-18,Theft,6242.87,2500.0,3742.87,Paid,"Apartment burglary; laptop, tablet, and gaming console stolen."
CLM-100225,POL-1001590,CUST-501590,Renters,2024-07-11,Water Damage,880.79,5000.0,0.0,Paid,Bathtub overflow from the apartment above leaked through ceiling.
CLM-100233,POL-1000472,CUST-500472,Renters,2022-05-22,Fire,755.38,250.0,505.38,Paid,"Toaster oven caught fire, causing kitchen smoke damage."
CLM-100236,POL-1003496,CUST-503496,Renters,2026-02-05,Water Damage,2538.87,2500.0,38.87,Paid,Leaking pipe in the wall damaged living room furniture.
CLM-100270,POL-1003891,CUST-503891,Renters,2022-09-27,Water Damage,6016.91,250.0,5766.91,Paid,Leaking pipe in the wall damaged living room furniture.
CLM-100268,POL-1003891,CUST-503891,Renters,2023-10-02,Water Damage,901.79,250.0,651.79,Paid,Leaking pipe in the wall damaged living room furniture.
CLM-100269,POL-1003891,CUST-503891,Renters,2023-11-13,Water Damage,500.0,250.0,0.0,Denied,Leaking pipe in the wall damaged living room furniture.
CLM-100291,POL-1004076,CUST-504076,Renters,2023-09-27,Water Damage,3984.77,1000.0,2984.77,Paid,Leaking pipe in the wall damaged living room furniture.
CLM-100292,POL-1002370,CUST-502370,Renters,2025-03-12,Fire,500.0,1000.0,0.0,Paid,Candle left unattended started a small bedroom fire.
CLM-100317,POL-1003230,CUST-503230,Renters,2023-01-01,Water Damage,535.84,250.0,285.84,Paid,Bathtub overflow from the apartment above leaked through ceiling.
CLM-100318,POL-1000691,CUST-500691,Renters,2025-01-15,Fire,1289.3,500.0,789.3,Paid,"Toaster oven caught fire, causing kitchen smoke damage."
CLM-100319,POL-1002754,CUST-502754,Renters,2023-09-19,Fire,3547.84,250.0,3297.84,Paid,Candle left unattended started a small bedroom fire.
CLM-100329,POL-1001417,CUST-501417,Renters,2023-08-11,Fire,1389.93,250.0,1139.93,Paid,Candle left unattended started a small bedroom fire.
CLM-100340,POL-1003525,CUST-503525,Renters,2026-01-18,Water Damage,500.0,250.0,250.0,Paid,Bathtub overflow from the apartment above leaked through ceiling.
CLM-100339,POL-1003525,CUST-503525,Renters,2026-02-22,Water Damage,3874.25,250.0,3624.25,Paid,Leaking pipe in the wall damaged living room furniture.
CLM-100349,POL-1001485,CUST-501485,Renters,2023-07-20,Water Damage,1564.66,1000.0,564.66,Paid,Bathtub overflow from the apartment above leaked through ceiling.
CLM-100348,POL-1001485,CUST-501485,Renters,2024-04-12,Fire,6976.71,1000.0,5976.71,Paid,Candle left unattended started a small bedroom fire.
CLM-100357,POL-1001261,CUST-501261,Renters,2025-03-24,Fire,4426.86,500.0,3926.86,Paid,"Toaster oven caught fire, causing kitchen smoke damage."
CLM-100358,POL-1004917,CUST-504917,Renters,2025-03-04,Water Damage,1461.41,500.0,961.41,Paid,Bathtub overflow from the apartment above leaked through ceiling.
CLM-100374,POL-1000731,CUST-500731,Renters,2022-08-17,Fire,1451.01,2500.0,0.0,Paid,"Toaster oven caught fire, causing kitchen smoke damage."
CLM-100416,POL-1000994,CUST-500994,Renters,2025-12-23,Theft,2235.55,2500.0,0.0,Paid,"Apartment burglary; laptop, tablet, and gaming console stolen."
CLM-100418,POL-1002642,CUST-502642,Renters,2026-04-06,Theft,15176.29,250.0,14926.29,Paid,"Apartment burglary; laptop, tablet, and gaming console stolen."
CLM-100423,POL-1003911,CUST-503911,Renters,2026-04-29,Fire,1579.78,1000.0,579.78,Under Review,"Toaster oven caught fire, causing kitchen smoke damage."
CLM-100422,POL-1003911,CUST-503911,Renters,2026-05-06,Theft,5062.44,1000.0,4062.44,Under Review,"Apartment burglary; laptop, tablet, and gaming console stolen."
CLM-100429,POL-1002417,CUST-502417,Renters,2025-10-20,Fire,6497.83,1000.0,0.0,Denied,Candle left unattended started a small bedroom fire.
CLM-100484,POL-1001541,CUST-501541,Renters,2025-01-17,Water Damage,3031.65,2500.0,531.65,Paid,Leaking pipe in the wall damaged living room furniture.
CLM-100485,POL-1002031,CUST-502031,Renters,2022-04-09,Theft,6551.4,500.0,6051.4,Paid,"Apartment burglary; laptop, tablet, and gaming console stolen."
CLM-100492,POL-1001029,CUST-501029,Renters,2023-06-20,Fire,4827.45,2500.0,2327.45,Paid,"Toaster oven caught fire, causing kitchen smoke damage."
CLM-100504,POL-1000315,CUST-500315,Renters,2023-01-11,Fire,5369.01,1000.0,4369.01,Paid,Candle left unattended started a small bedroom fire.
CLM-100503,POL-1000315,CUST-500315,Renters,2023-10-16,Fire,4874.12,1000.0,0.0,Denied,Candle left unattended started a small bedroom fire.
CLM-100523,POL-1003630,CUST-503630,Renters,2023-07-19,Theft,1569.85,2500.0,0.0,Paid,"Apartment burglary; laptop, tablet, and gaming console stolen."
CLM-100533,POL-1003197,CUST-503197,Renters,2025-12-23,Fire,1998.63,250.0,1748.63,Paid,Candle left unattended started a small bedroom fire.
CLM-100537,POL-1001351,CUST-501351,Renters,2024-05-28,Theft,20001.87,1000.0,19001.87,Paid,"Apartment burglary; laptop, tablet, and gaming console stolen."
CLM-100536,POL-1001351,CUST-501351,Renters,2024-11-19,Water Damage,1052.52,1000.0,52.52,Paid,Bathtub overflow from the apartment above leaked through ceiling.
CLM-100568,POL-1003912,CUST-503912,Renters,2022-11-23,Theft,3960.85,250.0,3710.85,Paid,Bicycle stolen from the apartment complex bike rack.
CLM-100567,POL-1003912,CUST-503912,Renters,2022-12-02,Fire,500.0,250.0,250.0,Paid,Candle left unattended started a small bedroom fire.
CLM-100589,POL-1001397,CUST-501397,Renters,2022-05-24,Theft,2344.81,2500.0,0.0,Denied,"Apartment burglary; laptop, tablet, and gaming console stolen."
CLM-100594,POL-1003668,CUST-503668,Renters,2025-10-23,Fire,500.0,1000.0,0.0,Paid,Candle left unattended started a small bedroom fire.
CLM-100603,POL-1003574,CUST-503574,Renters,2025-05-12,Theft,2948.82,250.0,2698.82,Paid,"Apartment burglary; laptop, tablet, and gaming console stolen."
CLM-100613,POL-1002672,CUST-502672,Renters,2022-12-01,Theft,10694.52,250.0,10444.52,Paid,Bicycle stolen from the apartment complex bike rack.
CLM-100642,POL-1000577,CUST-500577,Renters,2021-10-24,Fire,500.0,500.0,0.0,Paid,Candle left unattended started a small bedroom fire.
CLM-100643,POL-1000577,CUST-500577,Renters,2022-05-08,Fire,4249.27,500.0,3749.27,Paid,"Toaster oven caught fire, causing kitchen smoke damage."
CLM-100667,POL-1000996,CUST-500996,Renters,2023-10-29,Fire,2846.35,1000.0,1846.35,Paid,"Toaster oven caught fire, causing kitchen smoke damage."
CLM-100666,POL-1000996,CUST-500996,Renters,2024-01-04,Theft,5126.46,1000.0,4126.46,Paid,Bicycle stolen from the apartment complex bike rack.
CLM-100674,POL-1004359,CUST-504359,Renters,2021-12-04,Fire,19815.21,1000.0,18815.21,Paid,"Toaster oven caught fire, causing kitchen smoke damage."
CLM-100685,POL-1003142,CUST-503142,Renters,2023-01-30,Theft,2386.03,1000.0,1386.03,Paid,Bicycle stolen from the apartment complex bike rack.
CLM-100696,POL-1000533,CUST-500533,Renters,2026-02-24,Theft,27834.08,250.0,27584.08,Paid,Bicycle stolen from the apartment complex bike rack.
CLM-100712,POL-1003256,CUST-503256,Renters,2023-09-02,Theft,8458.6,1000.0,7458.6,Paid,Bicycle stolen from the apartment complex bike rack.
