claim_id,policy_id,customer_id,policy_type,claim_date,claim_type,claim_amount,deductible,amount_paid,claim_status,incident_description
CLM-100001,POL-1001501,CUST-501501,Renters,2025-12-25,Theft,500.0,1000.0,0.0,Paid,"Apartment burglary; laptop, tablet, and gaming console stolen."
CLM-100002,POL-1002586,CUST-502586,Home,2025-05-28,Water Damage,5917.8,2500.0,3417.8,Paid,Burst pipe in the upstairs bathroom flooded the ceiling below.
CLM-100003,POL-1002653,CUST-502653,Auto,2023-09-19,Collision,14417.68,1000.0,0.0,Denied,Rear-end collision at a traffic intersection.
CLM-100004,POL-1002653,CUST-502653,Auto,2024-05-07,Uninsured Motorist,3644.21,1000.0,2644.21,Paid,Rear-ended by an uninsured driver who fled the scene.
CLM-100005,POL-1001055,CUST-501055,Auto,2022-01-27,Collision,4512.58,1000.0,3512.58,Paid,Collided with a stationary utility pole while parking.
CLM-100006,POL-1000705,CUST-500705,Home,2024-04-04,Liability,13557.15,1000.0,12557.15,Paid,Guest tripped over a loose rug and fractured their wrist.
CLM-100007,POL-1000106,CUST-500106,Home,2025-06-18,Liability,8695.57,250.0,8445.57,Paid,Mail carrier slipped on icy front steps and sprained ankle.
CLM-100008,POL-1000589,CUST-500589,Home,2025-08-18,Liability,22738.61,1000.0,21738.61,Paid,Family dog bit a neighbor visiting the backyard.
CLM-100009,POL-1002468,CUST-502468,Auto,2021-11-11,Uninsured Motorist,2803.89,250.0,2553.89,Paid,Hit-and-run incident in a shopping mall parking structure.
CLM-100010,POL-1002413,CUST-502413,Auto,2022-01-06,Comprehensive,5647.11,500.0,5147.11,Paid,Hail storm caused extensive denting on hood and roof.
CLM-100012,POL-1001600,CUST-501600,Home,2023-09-12,Fire,28338.93,5000.0,23338.93,Paid,Grease fire in the kitchen caused severe cabinet and smoke damage.
CLM-100011,POL-1001600,CUST-501600,Home,2023-11-15,Fire,10379.18,5000.0,5379.18,Paid,Grease fire in the kitchen caused severe cabinet and smoke damage.
CLM-100013,POL-1002464,CUST-502464,Auto,2024-01-19,Uninsured Motorist,4576.57,1000.0,3576.57,Paid,Rear-ended by an uninsured driver who fled the scene.
CLM-100014,POL-1000228,CUST-500228,Auto,2025-07-04,Liability,1227.59,2500.0,0.0,Paid,Third-party property damage to a storefront fence.
CLM-100015,POL-1000915,CUST-500915,Umbrella,2025-05-08,Liability,13980.16,250.0,0.0,Denied,Defamation lawsuit settlement.
CLM-100016,POL-1000915,CUST-500915,Umbrella,2025-08-16,Liability,116806.71,250.0,0.0,Denied,Settlement for personal injury lawsuit stemming from rental property.
CLM-100017,POL-1000794,CUST-500794,Auto,2024-08-14,Liability,4823.73,250.0,4573.73,Paid,Third-party property damage to a storefront fence.
CLM-100018,POL-1000794,CUST-500794,Auto,2025-05-17,Liability,1441.48,250.0,1191.48,Paid,Third-party property damage to a storefront fence.
CLM-100019,POL-1003021,CUST-503021,Umbrella,2023-01-23,Liability,47814.0,5000.0,42814.0,Paid,Excess liability claim following a major multi-car auto accident.
CLM-100020,POL-1003543,CUST-503543,Renters,2026-05-05,Theft,9778.1,1000.0,8778.1,Under Review,Bicycle stolen from the apartment complex bike rack.
CLM-100021,POL-1001073,CUST-501073,Auto,2021-07-05,Comprehensive,500.0,500.0,0.0,Denied,Windshield cracked by a rock flying from a dump truck.
CLM-100022,POL-1003351,CUST-503351,Home,2026-04-29,Fire,7972.12,250.0,7722.12,Under Review,Electrical fire in the garage damaged walls and tools.
CLM-100023,POL-1001744,CUST-501744,Home,2026-04-21,Fire,3048.45,1000.0,0.0,Denied,Grease fire in the kitchen caused severe cabinet and smoke damage.
CLM-100025,POL-1001084,CUST-501084,Life,2026-03-16,Death Benefit,276000.0,1000.0,276000.0,Paid,Fatal cardiovascular event.
CLM-100024,POL-1001084,CUST-501084,Life,2026-03-19,Death Benefit,276000.0,1000.0,276000.0,Paid,Fatal cardiovascular event.
CLM-100026,POL-1000926,CUST-500926,Home,2025-07-25,Water Damage,31568.36,500.0,31068.36,Paid,Burst pipe in the upstairs bathroom flooded the ceiling below.
CLM-100027,POL-1003049,CUST-503049,Home,2024-09-28,Theft,35415.17,5000.0,30415.17,Paid,Lawnmower and power tools stolen from locked backyard shed.
CLM-100028,POL-1001117,CUST-501117,Auto,2023-07-28,Comprehensive,905.86,1000.0,0.0,Paid,Collided with a deer crossing the road at night.
CLM-100029,POL-1000642,CUST-500642,Home,2026-03-01,Water Damage,70427.44,250.0,70177.44,Paid,Burst pipe in the upstairs bathroom flooded the ceiling below.
CLM-100031,POL-1004767,CUST-504767,Auto,2025-11-30,Comprehensive,5321.42,250.0,5071.42,Paid,Collided with a deer crossing the road at night.
CLM-100030,POL-1004767,CUST-504767,Auto,2026-02-02,Uninsured Motorist,13830.04,250.0,13580.04,Paid,Hit-and-run incident in a shopping mall parking structure.
CLM-100032,POL-1000501,CUST-500501,Auto,2025-10-22,Uninsured Motorist,23949.82,2500.0,21449.82,Paid,Hit-and-run incident in a shopping mall parking structure.
CLM-100033,POL-1004066,CUST-504066,Motorcycle,2024-09-11,Comprehensive,7002.24,5000.0,2002.24,Paid,Motorcycle blown over and damaged during a windstorm.
CLM-100034,POL-1000333,CUST-500333,Auto,2025-12-24,Comprehensive,3509.67,5000.0,0.0,Paid,Vehicle vandalized with spray paint in a public parking lot.
