claim_id,policy_id,customer_id,policy_type,claim_date,claim_type,claim_amount,deductible,amount_paid,claim_status,incident_description
CLM-100033,POL-1004066,CUST-504066,Motorcycle,2024-09-11,Comprehensive,7002.24,5000.0,2002.24,Paid,Motorcycle blown over and damaged during a windstorm.
CLM-100049,POL-1002099,CUST-502099,Motorcycle,2025-10-21,Collision,1723.63,1000.0,0.0,Denied,Collided with a guardrail while avoiding a sudden obstacle.
CLM-100058,POL-1003773,CUST-503773,Motorcycle,2026-02-04,Liability,2258.4,500.0,1758.4,Paid,Passenger injured when motorcycle slid on wet leaves.
CLM-100059,POL-1003773,CUST-503773,Motorcycle,2026-03-20,Comprehensive,500.0,500.0,0.0,Paid,Motorcycle stolen from apartment complex parking lot.
CLM-100141,POL-1000248,CUST-500248,Motorcycle,2025-12-01,Collision,734.0,1000.0,0.0,Paid,Collided with a guardrail while avoiding a sudden obstacle.
CLM-100158,POL-1002094,CUST-502094,Motorcycle,2022-03-21,Comprehensive,12916.82,1000.0,11916.82,Paid,Motorcycle stolen from apartment complex parking lot.
CLM-100159,POL-1002094,CUST-502094,Motorcycle,2022-07-06,Collision,10518.4,1000.0,9518.4,Paid,Collided with a guardrail while avoiding a sudden obstacle.
CLM-100175,POL-1003107,CUST-503107,Motorcycle,2025-11-04,Liability,4321.99,500.0,3821.99,Paid,Accidentally scraped side of a parked luxury sedan.
CLM-100176,POL-1003107,CUST-503107,Motorcycle,2026-04-02,Comprehensive,2681.77,500.0,2181.77,Paid,Motorcycle blown over and damaged during a windstorm.
CLM-100192,POL-1004878,CUST-504878,Motorcycle,2026-03-31,Collision,3175.28,2500.0,675.28,Paid,Car turned left in front of motorcycle at an intersection.
CLM-100191,POL-1004878,CUST-504878,Motorcycle,2026-04-13,Liability,6280.59,2500.0,3780.59,Paid,Passenger injured when motorcycle slid on wet leaves.
CLM-100263,POL-1000829,CUST-500829,Motorcycle,2023-05-02,Collision,6379.28,2500.0,3879.28,Paid,Collided with a guardrail while avoiding a sudden obstacle.
CLM-100272,POL-1000764,CUST-500764,Motorcycle,2023-03-13,Collision,2807.43,1000.0,1807.43,Paid,"Lost control on gravel curve, laying down the motorcycle."
CLM-100271,POL-1000764,CUST-500764,Motorcycle,2023-10-19,Liability,5209.61,1000.0,4209.61,Paid,Passenger injured when motorcycle slid on wet leaves.
CLM-100277,POL-1003295,CUST-503295,Motorcycle,2022-08-04,Liability,500.0,2500.0,0.0,Denied,Accidentally scraped side of a parked luxury sedan.
CLM-100298,POL-1001020,CUST-501020,Motorcycle,2025-06-15,Collision,500.0,500.0,0.0,Paid,Car turned left in front of motorcycle at an intersection.
CLM-100314,POL-1004520,CUST-504520,Motorcycle,2022-11-07,Collision,2686.16,1000.0,1686.16,Paid,"Lost control on gravel curve, laying down the motorcycle."
CLM-100336,POL-1001483,CUST-501483,Motorcycle,2023-05-05,Liability,1645.24,250.0,1395.24,Paid,Passenger injured when motorcycle slid on wet leaves.
CLM-100392,POL-1002374,CUST-502374,Motorcycle,2026-02-14,Liability,500.0,1000.0,0.0,Paid,Passenger injured when motorcycle slid on wet leaves.
CLM-100437,POL-1000414,CUST-500414,Motorcycle,2025-11-01,Liability,21085.69,250.0,20835.69,Paid,Accidentally scraped side of a parked luxury sedan.
CLM-100453,POL-1004758,CUST-504758,Motorcycle,2023-07-10,Comprehensive,4477.45,1000.0,3477.45,Paid,Motorcycle stolen from apartment complex parking lot.
CLM-100518,POL-1001074,CUST-501074,Motorcycle,2024-10-06,Liability,15671.01,1000.0,14671.01,Paid,Accidentally scraped side of a parked luxury sedan.
CLM-100517,POL-1001074,CUST-501074,Motorcycle,2024-12-18,Liability,1030.13,1000.0,30.13,Paid,Passenger injured when motorcycle slid on wet leaves.
CLM-100529,POL-1002882,CUST-502882,Motorcycle,2025-05-24,Comprehensive,4394.84,2500.0,1894.84,Paid,Motorcycle stolen from apartment complex parking lot.
CLM-100531,POL-1002882,CUST-502882,Motorcycle,2025-12-15,Liability,3378.88,2500.0,878.88,Paid,Accidentally scraped side of a parked luxury sedan.
CLM-100530,POL-1002882,CUST-502882,Motorcycle,2026-04-13,Liability,3602.75,2500.0,1102.75,Paid,Passenger injured when motorcycle slid on wet leaves.
CLM-100534,POL-1002623,CUST-502623,Motorcycle,2025-03-21,Liability,2974.64,1000.0,1974.64,Paid,Accidentally scraped side of a parked luxury sedan.
CLM-100535,POL-1002623,CUST-502623,Motorcycle,2025-06-25,Comprehensive,3017.62,1000.0,2017.62,Paid,Motorcycle stolen from apartment complex parking lot.
CLM-100538,POL-1000410,CUST-500410,Motorcycle,2023-07-17,Collision,5088.78,2500.0,2588.78,Paid,Collided with a guardrail while avoiding a sudden obstacle.
CLM-100546,POL-1002372,CUST-502372,Motorcycle,2025-03-12,Comprehensive,5327.39,500.0,4827.39,Paid,Motorcycle blown over and damaged during a windstorm.
CLM-100597,POL-1001258,CUST-501258,Motorcycle,2026-01-22,Collision,1352.31,5000.0,0.0,Paid,Collided with a guardrail while avoiding a sudden obstacle.
CLM-100596,POL-1001258,CUST-501258,Motorcycle,2026-03-25,Liability,7365.44,5000.0,2365.44,Paid,Passenger injured when motorcycle slid on wet leaves.
CLM-100612,POL-1002964,CUST-502964,Motorcycle,2025-02-08,Comprehensive,4677.9,1000.0,0.0,Denied,Motorcycle blown over and damaged during a windstorm.
CLM-100611,POL-1002964,CUST-502964,Motorcycle,2025-04-14,Collision,16767.92,1000.0,15767.92,Paid,"Lost control on gravel curve, laying down the motorcycle."
CLM-100610,POL-1002964,CUST-502964,Motorcycle,2025-05-28,Liability,2021.93,1000.0,1021.93,Paid,Accidentally scraped side of a parked luxury sedan.
CLM-100621,POL-1000724,CUST-500724,Motorcycle,2024-01-11,Comprehensive,3493.54,5000.0,0.0,Paid,Motorcycle stolen from apartment complex parking lot.
CLM-100708,POL-1003665,CUST-503665,Motorcycle,2022-08-17,Comprehensive,4365.35,2500.0,1865.35,Paid,Motorcycle blown over and damaged during a windstorm.
