claim_id,policy_id,customer_id,policy_type,claim_date,claim_type,claim_amount,deductible,amount_paid,claim_status,incident_description
CLM-100003,POL-1002653,CUST-502653,Auto,2023-09-19,Collision,14417.68,1000.0,0.0,Denied,Rear-end collision at a traffic intersection.
CLM-100004,POL-1002653,CUST-502653,Auto,2024-05-07,Uninsured Motorist,3644.21,1000.0,2644.21,Paid,Rear-ended by an uninsured driver who fled the scene.
CLM-100005,POL-1001055,CUST-501055,Auto,2022-01-27,Collision,4512.58,1000.0,3512.58,Paid,Collided with a stationary utility pole while parking.
CLM-100009,POL-1002468,CUST-502468,Auto,2021-11-11,Uninsured Motorist,2803.89,250.0,2553.89,Paid,Hit-and-run incident in a shopping mall parking structure.
CLM-100010,POL-1002413,CUST-502413,Auto,2022-01-06,Comprehensive,5647.11,500.0,5147.11,Paid,Hail storm caused extensive denting on hood and roof.
CLM-100013,POL-1002464,CUST-502464,Auto,2024-01-19,Uninsured Motorist,4576.57,1000.0,3576.57,Paid,Rear-ended by an uninsured driver who fled the scene.
CLM-100014,POL-1000228,CUST-500228,Auto,2025-07-04,Liability,1227.59,2500.0,0.0,Paid,Third-party property damage to a storefront fence.
CLM-100017,POL-1000794,CUST-500794,Auto,2024-08-14,Liability,4823.73,250.0,4573.73,Paid,Third-party property damage to a storefront fence.
CLM-100018,POL-1000794,CUST-500794,Auto,2025-05-17,Liability,1441.48,250.0,1191.48,Paid,Third-party property damage to a storefront fence.
CLM-100021,POL-1001073,CUST-501073,Auto,2021-07-05,Comprehensive,500.0,500.0,0.0,Denied,Windshield cracked by a rock flying from a dump truck.
CLM-100028,POL-1001117,CUST-501117,Auto,2023-07-28,Comprehensive,905.86,1000.0,0.0,Paid,Collided with a deer crossing the road at night.
CLM-100031,POL-1004767,CUST-504767,Auto,2025-11-30,Comprehensive,5321.42,250.0,5071.42,Paid,Collided with a deer crossing the road at night.
CLM-100030,POL-1004767,CUST-504767,Auto,2026-02-02,Uninsured Motorist,13830.04,250.0,13580.04,Paid,Hit-and-run incident in a shopping mall parking structure.
CLM-100032,POL-1000501,CUST-500501,Auto,2025-10-22,Uninsured Motorist,23949.82,2500.0,21449.82,Paid,Hit-and-run incident in a shopping mall parking structure.
CLM-100034,POL-1000333,CUST-500333,Auto,2025-12-24,Comprehensive,3509.67,5000.0,0.0,Paid,Vehicle vandalized with spray paint in a public parking lot.
CLM-100035,POL-1004684,CUST-504684,Auto,2026-02-18,Liability,500.0,250.0,250.0,Paid,Third-party property damage to a storefront fence.
CLM-100036,POL-1000486,CUST-500486,Auto,2026-04-21,Uninsured Motorist,16509.77,500.0,16009.77,Paid,Hit-and-run incident in a shopping mall parking structure.
CLM-100038,POL-1000393,CUST-500393,Auto,2026-02-11,Collision,22869.94,1000.0,21869.94,Paid,Rear-end collision at a traffic intersection.
CLM-100039,POL-1004842,CUST-504842,Auto,2024-10-07,Comprehensive,12112.6,500.0,11612.6,Paid,Hail storm caused extensive denting on hood and roof.
CLM-100042,POL-1002515,CUST-502515,Auto,2025-08-31,Collision,9623.93,250.0,9373.93,Paid,Rear-end collision at a traffic intersection.
CLM-100043,POL-1002515,CUST-502515,Auto,2025-09-08,Liability,15929.44,250.0,15679.44,Paid,Backed into neighbor's parked car causing bumper damage.
CLM-100047,POL-1004966,CUST-504966,Auto,2023-08-03,Collision,2196.24,5000.0,0.0,Paid,Sideswiped by another vehicle merging onto the highway.
CLM-100048,POL-1004966,CUST-504966,Auto,2023-10-10,Comprehensive,983.68,5000.0,0.0,Paid,Vehicle vandalized with spray paint in a public parking lot.
CLM-100055,POL-1000838,CUST-500838,Auto,2022-10-05,Comprehensive,3549.51,5000.0,0.0,Denied,Vehicle vandalized with spray paint in a public parking lot.
CLM-100056,POL-1000838,CUST-500838,Auto,2026-01-27,Uninsured Motorist,6671.94,5000.0,1671.94,Paid,Rear-ended by an uninsured driver who fled the scene.
